,Country,Year,Code,Temperature_C,annual_co2_tonnes
0,Brazil,1991,BRA,26.0139,217227472.0
1,Brazil,1992,BRA,25.7539,218383504.0
2,Brazil,1993,BRA,26.0299,228333216.0
3,Brazil,1994,BRA,26.1762,239470720.0
4,Brazil,1995,BRA,26.165,255583376.0
5,Brazil,1996,BRA,26.2589,281194784.0
6,Brazil,1997,BRA,26.8906,296585256.0
7,Brazil,1998,BRA,26.8333,308305720.0
8,Brazil,1999,BRA,26.0898,316282440.0
9,Brazil,2000,BRA,26.5293,324226040.0
10,Brazil,2001,BRA,26.3615,332987400.0
11,Brazil,2002,BRA,27.0233,327434832.0
12,Brazil,2003,BRA,26.5705,317508448.0
13,Brazil,2004,BRA,26.496,333675144.0
14,Brazil,2005,BRA,26.818,342086472.0
15,Brazil,2006,BRA,26.592,341946368.0
16,Brazil,2007,BRA,26.7388,356918752.0
17,Brazil,2008,BRA,26.9318,380344928.0
18,Brazil,2009,BRA,27.1158,360090776.0
19,Brazil,2010,BRA,27.0655,411240192.0
20,Brazil,2011,BRA,26.1899,430194902.3
21,Brazil,2012,BRA,27.209,460063092.5
22,Brazil,2013,BRA,26.4174,493593511.3
23,Brazil,2014,BRA,26.9956,519526349.7
24,Brazil,2015,BRA,27.3481,512081882.0
25,Brazil,2016,BRA,27.0781,473741376.0
26,China,1991,CHN,19.7388,2538923968.0
27,China,1992,CHN,18.9943,2657112406.0
28,China,1993,CHN,18.8677,2835795473.0
29,China,1994,CHN,20.1248,3010242208.0
30,China,1995,CHN,19.4021,3265056964.0
31,China,1996,CHN,19.3646,3408346591.0
32,China,1997,CHN,19.9324,3414549286.0
33,China,1998,CHN,19.8913,3265902621.0
34,China,1999,CHN,20.0303,3258134887.0
35,China,2000,CHN,20.656,3349294776.0
36,China,2001,CHN,20.4976,3426144062.0
37,China,2002,CHN,20.1288,3782439297.0
38,China,2003,CHN,19.3749,4452310296.0
39,China,2004,CHN,19.7347,5125894416.0
40,China,2005,CHN,20.2823,5771168440.0
41,China,2006,CHN,20.3471,6377748016.0
42,China,2007,CHN,19.9293,6861750652.0
43,China,2008,CHN,20.0834,7375189907.0
44,China,2009,CHN,19.9348,7758811768.0
45,China,2010,CHN,20.6833,8500542695.0
46,China,2011,CHN,20.0844,9388199234.0
47,China,2012,CHN,20.1618,9633899303.0
48,China,2013,CHN,20.1319,9796527160.0
49,China,2014,CHN,19.8805,9820360492.0
50,China,2015,CHN,19.8881,9716467840.0
51,China,2016,CHN,20.5391,9704479432.0
52,India,1991,IND,30.195999999999998,656740892.9
53,India,1992,IND,29.8146,698756949.7
54,India,1993,IND,30.2519,722894259.4
55,India,1994,IND,30.5279,764241966.7
56,India,1995,IND,30.616,811460787.1
57,India,1996,IND,30.2601,878826964.5
58,India,1997,IND,29.0944,915049313.0
59,India,1998,IND,30.9213,933549258.1
60,India,1999,IND,29.7694,995233071.6
61,India,2000,IND,29.9904,1029637759.0
62,India,2001,IND,30.3462,1035640714.0
63,India,2002,IND,30.9648,1047595651.0
64,India,2003,IND,30.2158,1091873009.0
65,India,2004,IND,30.0187,1145545234.0
66,India,2005,IND,30.4226,1210145667.0
67,India,2006,IND,30.3561,1287149211.0
68,India,2007,IND,30.2312,1390253491.0
69,India,2008,IND,29.9916,1547991039.0
70,India,2009,IND,30.6276,1720120560.0
71,India,2010,IND,31.0187,1700027394.0
72,India,2011,IND,30.4296,1817171600.0
73,India,2012,IND,30.5773,1983758813.0
74,India,2013,IND,30.7841,1997878578.0
75,India,2014,IND,30.5908,2207533892.0
76,India,2015,IND,30.6109,2276407195.0
77,India,2016,IND,30.5832,2377447863.0
78,Russia,1991,RUS,15.9513,2437038082.0
79,Russia,1992,RUS,14.1514,1993217628.0
80,Russia,1993,RUS,15.2348,1890935002.0
81,Russia,1994,RUS,14.7412,1669637144.0
82,Russia,1995,RUS,14.8997,1640263218.0
83,Russia,1996,RUS,15.4488,1606949015.0
84,Russia,1997,RUS,14.3421,1502137425.0
85,Russia,1998,RUS,16.192999999999998,1484852223.0
86,Russia,1999,RUS,15.7508,1512984706.0
87,Russia,2000,RUS,15.0084,1499616209.0
88,Russia,2001,RUS,16.0098,1538244400.0
89,Russia,2002,RUS,15.7214,1528961747.0
90,Russia,2003,RUS,15.5483,1562472351.0
91,Russia,2004,RUS,15.1005,1570864198.0
92,Russia,2005,RUS,15.8514,1588662864.0
93,Russia,2006,RUS,15.0401,1648658734.0
94,Russia,2007,RUS,15.6705,1647728940.0
95,Russia,2008,RUS,15.109000000000002,1679794450.0
96,Russia,2009,RUS,14.8661,1572439009.0
97,Russia,2010,RUS,16.1353,1657560679.0
98,Russia,2011,RUS,15.7804,1712424769.0
99,Russia,2012,RUS,16.1877,1726099500.0
100,Russia,2013,RUS,15.5927,1665988574.0
101,Russia,2014,RUS,14.9019,1667110707.0
102,Russia,2015,RUS,15.1593,1671895079.0
103,Russia,2016,RUS,16.0391,1668069933.0
