,Country,Code,Year,annual_co2_tonnes,gdp_2016
0,Afghanistan,AFG,2016,12257907.69,1896.99252
1,Albania,ALB,2016,6272857.94,11868.17897
2,Algeria,DZA,2016,150378025.5,15036.36415
3,Angola,AGO,2016,35351002.67,6756.935073999999
4,Antigua and Barbuda,ATG,2016,565396.8,23670.30226
5,Argentina,ARG,2016,207064059.7,20130.408030000002
6,Armenia,ARM,2016,5960812.77,8808.572714
7,Aruba,ABW,2016,928030.61,38390.27165
8,Australia,AUS,2016,413369923.0,47305.88002
9,Austria,AUT,2016,67402082.59,51809.51363
10,Azerbaijan,AZE,2016,39688284.55,17417.08669
11,Bahrain,BHR,2016,34265093.36,47215.78618
12,Bangladesh,BGD,2016,85253607.89,3696.776193
13,Barbados,BRB,2016,1324668.69,17947.963340000002
14,Belarus,BLR,2016,60509202.94,18098.42286
15,Belgium,BEL,2016,100243709.2,47855.49023
16,Belize,BLZ,2016,547433.65,8242.629592
17,Benin,BEN,2016,6747918.55,2169.755807
18,Bermuda,BMU,2016,612188.26,
19,Bhutan,BTN,2016,1114581.02,9392.257873
20,Bolivia,BOL,2016,20562262.44,7147.839209999999
21,Bosnia and Herzegovina,BIH,2016,26001698.03,12824.03613
22,Botswana,BWA,2016,7098396.26,17314.77444
23,Brazil,BRA,2016,473741376.0,15331.548519999998
24,British Virgin Islands,VGB,2016,191065.13,
25,Bulgaria,BGR,2016,45287386.92,19500.32945
26,Burkina Faso,BFA,2016,2969811.57,1772.8482789999998
27,Burundi,BDI,2016,508147.73,743.9035976
28,Cambodia,KHM,2016,7481962.36,3742.958793
29,Cameroon,CMR,2016,7586133.25,3546.5445600000003
30,Canada,CAN,2016,558188999.7,45011.643169999996
31,Central African Republic,CAF,2016,310857.95,780.9055326
32,Chad,TCD,2016,728968.24,2012.8173160000001
33,Chile,CHL,2016,86127998.65,22874.149419999998
34,China,CHN,2016,9704479432.0,15513.27304
35,Colombia,COL,2016,86372986.18,14259.6093
36,Comoros,COM,2016,181368.93,2719.2961739999996
37,Costa Rica,CRI,2016,8565684.25,16278.6019
38,Cote d'Ivoire,CIV,2016,10757541.88,3665.550486
39,Croatia,HRV,2016,18221474.35,24511.89485
40,Curacao,CUW,2016,6254458.4,27679.64503
41,Cyprus,CYP,2016,7307799.07,34379.46437
42,Czech Republic,CZE,2016,106543295.2,35230.52246
43,Denmark,DNK,2016,37117342.56,50877.44729
44,Djibouti,DJI,2016,788227.38,
45,Dominica,DMA,2016,144273.67,11236.95243
46,Dominican Republic,DOM,2016,21782343.9,15519.61682
47,Ecuador,ECU,2016,39753913.22,11222.07849
48,El Salvador,SLV,2016,6834307.15,7686.143937000001
49,Equatorial Guinea,GNQ,2016,6458274.63,26232.13378
50,Eritrea,ERI,2016,764267.49,
51,Estonia,EST,2016,17493503.19,30913.20512
52,Ethiopia,ETH,2016,12941892.17,1746.16277
53,Fiji,FJI,2016,1264124.92,9670.841001
54,Finland,FIN,2016,47926378.65,44015.52992
55,France,FRA,2016,350104687.1,42047.28724
56,French Polynesia,PYF,2016,885690.41,
57,Gabon,GAB,2016,5476128.51,17839.8973
58,Georgia,GEO,2016,9838878.96,10480.96562
59,Germany,DEU,2016,801753007.7,49516.082689999996
60,Ghana,GHA,2016,15103734.35,4135.645
61,Greece,GRC,2016,71373081.31,27273.93458
62,Greenland,GRL,2016,560221.79,
63,Grenada,GRD,2016,269631.5,13844.143469999999
64,Guatemala,GTM,2016,20937056.45,7955.320011
65,Guinea,GIN,2016,2601718.74,2167.282392
66,Guinea-Bissau,GNB,2016,293903.94,1648.438332
67,Guyana,GUY,2016,2052738.78,7865.450609
68,Haiti,HTI,2016,2998443.06,1787.159403
69,Honduras,HND,2016,10576201.5,4683.126696
70,Hungary,HUN,2016,47578182.95,27171.15945
71,Iceland,ISL,2016,3489972.16,52582.29385
72,India,IND,2016,2377447863.0,6634.844574000001
73,Indonesia,IDN,2016,464856818.4,11604.52525
74,Iraq,IRQ,2016,184938733.5,18085.87647
75,Ireland,IRL,2016,39928118.06,70522.22592000001
76,Israel,ISR,2016,65168217.5,37463.19908
77,Italy,ITA,2016,350323014.9,39178.4
78,Jamaica,JAM,2016,7811420.91,8763.300248
79,Japan,JPN,2016,1204318623.0,41118.07804
80,Jordan,JOR,2016,21630072.66,9092.954278
81,Kazakhstan,KAZ,2016,278361927.6,25314.86554
82,Kenya,KEN,2016,15234214.02,3121.830489
83,Kiribati,KIR,2016,68752.22,2210.850719
84,Kuwait,KWT,2016,103455954.0,75689.27575
85,Latvia,LVA,2016,7263617.94,25875.98735
86,Lebanon,LBN,2016,19757406.59,12693.56418
87,Lesotho,LSO,2016,2461902.67,3170.578608
88,Liberia,LBR,2016,969031.61,1269.886223
89,Libya,LBY,2016,51310369.05,14964.52288
90,Liechtenstein,LIE,2016,148362.03,
91,Lithuania,LTU,2016,13157457.12,30334.19087
92,Luxembourg,LUX,2016,9002955.52,108165.7614
93,Madagascar,MDG,2016,3044347.02,1758.845163
94,Malawi,MWI,2016,1315537.13,1230.416571
95,Malaysia,MYS,2016,251089604.0,28246.75055
96,Maldives,MDV,2016,1472106.44,13931.362780000001
97,Mali,MLI,2016,1529094.82,2131.589703
98,Malta,MLT,2016,1420277.18,38347.86857
99,Marshall Islands,MHL,2016,113238.96,3585.710747
